UserID,TotalPoints,ValidDays,UserName
81000001,12,3,追风少年
81000002,12,3,小太阳
81000003,12,3,Moon
81000004,12,3,一叶知秋
81000005,12,3,大梦想家
81000006,12,3,Starry Night
81000007,12,3,孤城
81000008,12,3,Jack
81000009,12,3,往事随风
81000010,12,3,奋斗的蜗牛
81000011,12,3,Lucy
81000012,12,3,迷路的麋鹿
81000013,12,3,青山不改
81000014,12,3,Summer
81000015,12,3,独行侠
81000016,1,1,柠檬不萌
81000017,1,1,Sky
81000018,1,1,风中的云
81000019,1,1,咖啡不加糖
81000020,1,1,Alice
81000021,1,1,远方
81000022,1,1,懒羊羊
81000023,1,1,Bob
81000024,1,1,平凡之路
81000025,1,1,流浪的猫
81000026,1,1,Chris
81000027,1,1,听雨
81000028,1,1,晨曦
81000029,1,1,David
81000030,1,1,向日葵
